country,gender,school_type,math_score,reading_score,science_score,education_father,education_mother,education_parents,family_structure,immigration_status
133164,Germany,Female,High school,567.2301,596.6103,586.0127,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133165,Germany,Female,High school,592.1561,616.5475,584.241,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133166,Germany,Female,High school,516.7549,543.3121,547.0347,ISCED 2,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133167,Germany,Male,High school,652.1343,604.6483,640.1902,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133169,Germany,Male,High school,614.2779,550.8378,573.3308,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133170,Germany,Female,High school,570.268,592.1621,606.8072,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133172,Germany,Male,High school,660.3910000000001,619.0833,684.5767,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133173,Germany,Female,High school,622.6126,590.3352,584.7072,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133174,Germany,Male,High school,611.318,611.8658,617.4375,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133176,Germany,Male,High school,491.9068,527.9022,550.8579,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133177,Germany,Male,High school,685.7065,595.8269,693.2488,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133178,Germany,Female,High school,659.1447,680.0923,712.1783,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133180,Germany,Male,High school,644.4228,565.3530000000001,657.4413,ISCED 2,ISCED 5B,ISCED 5B,Single father/mother,Native
133181,Germany,Female,High school,683.2918,622.9019,693.342,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133182,Germany,Male,High school,698.3253,627.3434,728.9631,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133183,Germany,Female,High school,530.5421,544.5035,502.3685,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133184,Germany,Male,High school,494.8668,473.9313,527.8254,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133185,Germany,Female,High school,539.9673,546.6482,577.9,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133186,Germany,Female,High school,527.6601,555.1473,576.2216,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133187,Germany,Male,High school,583.3541,540.4125,585.3599,ISCED 2,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133188,Germany,Female,High school,516.1318,501.2931,551.8836,ISCED 2,ISCED 5B,ISCED 5B,Single father/mother,Native
133189,Germany,Male,High school,599.3223,574.7358,624.7109,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",Both parents,Native
133190,Germany,Female,High school,660.8584,619.5658,677.5830000000001,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133191,Germany,Male,High school,655.4058,566.7965,646.8109,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133192,Germany,Male,High school,723.3292,635.844,720.6639,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133193,Germany,Male,High school,490.9721,469.3602,537.8031,ISCED 5B,ISCED 5B,ISCED 5B,Single father/mother,Native
133194,Germany,Male,High school,746.0742,691.2584,734.931,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133195,Germany,Female,High school,638.1134,623.6168,627.9746,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133196,Germany,Male,High school,576.11,573.2923,632.0776,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
