country,gender,school_type,math_score,reading_score,science_score,education_father,education_mother,education_parents,family_structure,immigration_status
133683,Germany,Male,Main school,582.0299,426.5363,507.6837,ISCED 2,ISCED 5B,ISCED 5B,Both parents,Native
133685,Germany,Female,Main school,537.7084,512.4928,483.066,ISCED 2,ISCED 2,ISCED 2,Both parents,Second-Generation
133689,Germany,Female,Main school,413.0784,404.4667,394.4797,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133690,Germany,Female,Main school,470.7976,502.0079,454.7184,ISCED 2,ISCED 2,ISCED 2,Other,Second-Generation
133691,Germany,Male,Main school,510.4456,447.7077,550.8579,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133697,Germany,Female,Main school,464.5661,474.92199999999997,458.7281,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133699,Germany,Male,Middle school,539.3441,535.5207,500.4103,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,Native
133701,Germany,Male,Middle school,501.4878,411.3796,501.809,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133702,Germany,Male,Middle school,407.7037,369.4378,380.3991,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133704,Germany,Female,Middle school,485.1301,457.6854,454.2521,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133705,Germany,Male,Middle school,553.9882,493.0978,558.038,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133706,Germany,Female,Middle school,453.5052,495.8123,447.1652,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133711,Germany,Male,Middle school,492.4521,457.8924,489.3137,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133713,Germany,Female,Middle school,444.9369,500.5782,465.069,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133715,Germany,Female,Middle school,526.8811,498.7513,484.8377,ISCED 2,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133716,Germany,Female,Middle school,547.9903,554.8296,524.7482,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133721,Germany,Male,Special school,344.0645,386.5193,370.8877,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133723,Germany,Female,Special school,286.4231,316.2982,273.909,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Other,Native
133725,Germany,Male,Special school,387.685,379.3018,385.8075,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133727,Germany,Female,Special school,280.9706,338.5389,287.8963,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Native
133728,Germany,Male,Special school,337.833,344.8181,340.1156,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133730,Germany,Male,Special school,335.4962,362.4609,366.2253,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",Other,Native
133731,Germany,Male,Special school,358.0854,384.1134,429.6345,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Native
133737,Germany,Male,Special school,380.6746,430.6262,424.0395,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133739,Germany,Male,Special school,285.6442,341.6103,351.3055,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133740,Germany,Female,Special school,323.0332,390.1691,371.8202,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133743,Germany,Male,Middle school,667.012,650.3592,702.5737,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",Both parents,Native
133744,Germany,Female,Middle school,590.6761,604.6328,583.7747,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133745,Germany,Male,Middle school,505.4604,485.8803,488.3812,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133746,Germany,Male,Middle school,579.0699,528.2230000000001,598.6013,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,Native
133747,Germany,Female,Middle school,516.5992,537.0369999999999,500.2238,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133748,Germany,Female,Middle school,623.4694,659.9962,670.4028,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133749,Germany,Female,Middle school,518.1569999999999,533.1449,559.2503,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133750,Germany,Female,Middle school,467.60400000000004,536.3221,511.4137,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Single father/mother,Native
133754,Germany,Male,Middle school,549.5482,510.2594,530.3432,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133755,Germany,Male,Middle school,676.7487,599.0347,670.5893,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133757,Germany,Female,Middle school,543.0830000000001,570.4775,540.6005,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133759,Germany,Male,Middle school,568.0869,615.3142,604.9422,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133760,Germany,Male,Middle school,593.6361,566.3956,631.0518,"ISCED 3B, C","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133761,Germany,Female,Middle school,523.6096,606.2214,611.2831,ISCED 5B,"ISCED 3B, C",ISCED 5B,Both parents,Native
133762,Germany,Male,Middle school,666.1552,635.1222,681.2197,"ISCED 3B, C","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133764,Germany,Male,Middle school,492.4521,494.7819,508.8959,ISCED 2,ISCED 5B,ISCED 5B,Single father/mother,Native
133765,Germany,Female,Middle school,462.0735,515.6701,545.0765,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133767,Germany,Male,Vocational school,518.3907,379.5423,450.1492,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133769,Germany,Male,Vocational college,483.1048,432.2301,431.4994,ISCED 5B,ISCED 2,ISCED 5B,Single father/mother,Native
133771,Germany,Female,Vocational college,501.1762,505.9795,477.0981,ISCED 2,ISCED 2,ISCED 2,Both parents,First-Generation
133772,Germany,Male,Vocational school,562.5565,476.2569,561.768,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133773,Germany,Male,Vocational preparation,512.0034,454.1232,464.1365,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133774,Germany,Male,Vocational college,586.7814,528.4636,569.7874,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133775,Germany,Male,Vocational school,555.6239,550.3567,580.6975,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133778,Germany,Male,Vocational college,535.8389,418.5169,462.2715,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133779,Germany,Male,Vocational school,602.4381,551.5596,554.4946,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133780,Germany,Male,Vocational preparation,346.0118,339.2045,365.2928,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133781,Germany,Male,Vocational college,491.8289,471.2849,531.4621,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133782,Germany,Male,Vocational school,520.2602,505.9289,574.1701,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133784,Germany,Male,Vocational school,590.754,504.1646,537.9896,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133786,Germany,Male,Vocational school,657.6647,570.9666,616.7848,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133787,Germany,Male,Vocational college,514.7297,410.5776,517.6613,ISCED 5B,"ISCED 3B, C",ISCED 5B,Both parents,Native
133788,Germany,Male,Vocational college,571.9037,486.6822,512.3461,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133789,Germany,Male,Vocational school,576.8889,532.3931,573.3308,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133790,Germany,Male,Vocational college,532.9568,454.6846,508.7094,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133791,Germany,Male,High school,555.5459999999999,530.0674,574.9161,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133792,Germany,Male,High school,547.0556,503.0419,559.2503,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133793,Germany,Male,High school,543.1609,549.3141,548.7132,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133794,Germany,Female,High school,504.2141,541.0880000000001,529.6904,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133795,Germany,Female,High school,458.1788,466.3434,466.6542,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133796,Germany,Female,High school,553.2092,557.7685,572.3051,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133797,Germany,Male,High school,547.8346,494.7819,569.2279,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133799,Germany,Male,High school,544.7188,553.3238,583.7747,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133800,Germany,Female,High school,595.5055,609.637,605.8747,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133801,Germany,Female,High school,587.6383,626.7146,645.8784,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133802,Germany,Male,High school,611.7074,524.4538,584.7072,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133803,Germany,Female,High school,719.4345,751.5007,746.7736,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133804,Germany,Female,High school,464.1767,525.9167,483.7188,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
133805,Germany,Female,High school,524.5443,585.3311,552.9094,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133806,Germany,Female,High school,616.7705,689.6239999999999,650.0746,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133807,Germany,Male,High school,656.1069,604.8889,659.959,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133808,Germany,Female,High school,654.4711,690.3389,698.8437,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133809,Germany,Male,High school,682.6686,602.8039,655.4830000000001,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133810,Germany,Male,High school,615.6021,579.2267,601.2122,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Second-Generation
133811,Germany,Male,High school,699.8053,639.7735,718.6125,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133812,Germany,Female,High school,541.5252,588.6672,550.5781,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133813,Germany,Female,High school,527.9716,568.0945,551.2309,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
133816,Germany,Female,High school,646.6817,618.9304,608.6721,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133820,Germany,Female,High school,604.9307,642.6803,652.5923,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133822,Germany,Male,High school,512.7045,519.6422,503.1145,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133823,Germany,Female,High school,674.8014,603.2825,639.4442,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133824,Germany,Male,High school,703.6221,653.567,669.9366,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133825,Germany,Male,High school,588.9625,534.3177,549.9254,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133826,Germany,Male,High school,674.7235,623.895,628.0679,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133831,Germany,Female,High school,612.4864,564.123,556.7326,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133832,Germany,Male,High school,636.6334,584.0383,617.0645,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133833,Germany,Female,High school,598.3097,596.928,574.1701,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133834,Germany,Female,High school,568.9438,582.2333,522.79,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133836,Germany,Female,High school,731.2743,659.4402,703.2264,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
133838,Germany,Female,High school,635.6987,666.033,657.1615,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133841,Germany,Male,High school,571.9037,542.8184,554.3081,"ISCED 3A, ISCED 4","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133842,Germany,Female,High school,490.1932,573.0987,561.1153,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133843,Germany,Female,High school,588.4172,644.11,648.0231,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133846,Germany,Female,High school,543.3167,561.184,576.9675,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",Both parents,Second-Generation
133847,Germany,Male,High school,645.2796,617.3191,631.8911,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133848,Germany,Female,High school,562.6344,580.8035,572.5849,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133849,Germany,Female,High school,544.7188,559.3571,565.4979,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Single father/mother,Native
133850,Germany,Male,High school,571.9037,528.4636,555.3338,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
133851,Germany,Female,High school,596.9076,673.9761,651.5666,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133853,Germany,Male,High school,497.671,508.3347,512.6259,ISCED 5B,"ISCED 3B, C",ISCED 5B,Both parents,Native
133854,Germany,Female,High school,523.9212,585.4899,589.1831,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133855,Germany,Male,High school,602.2823,579.788,559.9963,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Second-Generation
133856,Germany,Male,High school,643.6439,624.697,646.6244,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133859,Germany,Male,High school,544.7188,542.0966,549.2727,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133860,Germany,Female,High school,552.4303,587.8729,540.3208,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Second-Generation
133861,Germany,Male,High school,620.12,560.7819,611.4696,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133862,Germany,Female,High school,524.5443,632.1954,574.3566,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133863,Germany,Male,Main school,367.2768,308.1692,325.1958,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,First-Generation
133864,Germany,Male,Main school,470.6418,386.4391,457.3294,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,Native
133867,Germany,Female,Main school,554.7671,572.8604,574.9161,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133868,Germany,Female,Main school,484.1954,497.3215,456.7699,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133869,Germany,Female,Main school,361.5906,376.6658,341.0481,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133870,Germany,Male,Main school,331.1341,356.2859,396.0649,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133871,Germany,Male,Main school,326.5384,299.1073,317.7359,ISCED 2,None,ISCED 2,Both parents,Second-Generation
133873,Germany,Male,Main school,373.5862,400.0721,456.7699,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Second-Generation
133875,Germany,Male,Main school,332.8478,350.4317,367.4375,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133879,Germany,Male,Main school,409.8847,393.6566,456.3969,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133880,Germany,Male,Main school,346.0897,307.9286,324.9161,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133881,Germany,Male,Main school,514.0287,475.455,507.031,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133883,Germany,Male,Main school,375.7673,399.9118,359.8844,ISCED 2,"ISCED 3B, C","ISCED 3B, C",Both parents,Native
133884,Germany,Male,Main school,434.8107,393.7368,402.4058,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133889,Germany,Female,Integrated school,437.9265,452.9196,506.8445,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133890,Germany,Female,Integrated school,320.3069,392.4726,398.5826,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133891,Germany,Male,Integrated school,553.365,499.3529,598.6013,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Native
133892,Germany,Male,Integrated school,525.7127,509.1367,597.4823,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Second-Generation
133893,Germany,Male,Integrated school,589.8193,514.0285,669.2838,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
133894,Germany,Male,Integrated school,559.5965,516.274,621.6337,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133895,Germany,Male,Integrated school,424.6845,476.3371,463.204,ISCED 2,None,ISCED 2,Both parents,Second-Generation
133896,Germany,Male,Integrated school,407.0805,436.1597,511.7866,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Single father/mother,Native
133897,Germany,Male,Integrated school,624.1704,534.8791,625.7367,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Second-Generation
133901,Germany,Female,Integrated school,420.0888,439.6546,473.4614,"ISCED 3B, C","ISCED 5A, 6","ISCED 5A, 6",Both parents,Second-Generation
133902,Germany,Female,Integrated school,414.5583,402.87800000000004,504.2335,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133904,Germany,Female,Integrated school,448.2084,454.3493,448.191,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,Both parents,Native
133906,Germany,Male,Integrated school,517.3002,446.9057,498.6386,ISCED 2,ISCED 2,ISCED 2,Both parents,Second-Generation
133909,Germany,Female,Integrated school,390.8786,372.6943,374.0582,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133910,Germany,Female,Middle school,544.6409,517.2587,538.549,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
133911,Germany,Male,Middle school,520.6496,547.4696,618.1835,"ISCED 3A, ISCED 4",ISCED 5B,ISCED 5B,Both parents,Native
133913,Germany,Female,Middle school,531.7105,504.4703,543.4912,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133914,Germany,Female,Middle school,519.0139,579.4532,656.2289999999999,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133915,Germany,Male,Middle school,652.4459,597.3506,666.5796,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133916,Germany,Male,Middle school,518.2349,494.2205,520.0858,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133917,Germany,Female,Middle school,495.3342,568.0151,580.6975,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Native
133918,Germany,Female,Middle school,578.9142,580.8035,571.3726,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133920,Germany,Female,Middle school,701.441,666.033,715.9082,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,First-Generation
133921,Germany,Female,Middle school,522.1296,507.171,530.3432,None,None,None,Both parents,Second-Generation
133922,Germany,Male,Middle school,488.6353,427.4185,494.2559,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133923,Germany,Male,Middle school,544.0178,523.4113,567.8292,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Native
133926,Germany,Female,Middle school,476.9512,493.4294,528.7579,ISCED 5B,ISCED 5B,ISCED 5B,Single father/mother,Native
133928,Germany,Male,Middle school,521.5065,464.5485,518.2208,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Both parents,Second-Generation
133930,Germany,Male,Middle school,436.5244,451.3164,494.8154,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133931,Germany,Female,Middle school,594.4929,548.9517,568.2954,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133933,Germany,Female,Middle school,598.3876,552.1289,560.8355,"ISCED 3A, ISCED 4","ISCED 3B, C","ISCED 3A, ISCED 4",Both parents,Native
133934,Germany,Female,Middle school,596.0508,612.5759,605.6882,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133935,Germany,Male,Integrated school,582.8088,527.6616,612.2156,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Second-Generation
133936,Germany,Female,Integrated school,427.0992,489.4578,442.969,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",Both parents,First-Generation
133937,Germany,Female,Integrated school,403.0301,457.4471,411.1712,ISCED 2,ISCED 2,ISCED 2,Both parents,Second-Generation
133939,Germany,Female,Integrated school,584.6783,569.6037,577.0608,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133941,Germany,Male,Integrated school,394.306,380.1037,393.0809,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133942,Germany,Male,Integrated school,593.9477,531.9119,550.8579,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133943,Germany,Male,Integrated school,460.5936,445.8632,494.2559,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",Both parents,Second-Generation
133944,Germany,Female,Integrated school,529.6074,543.3915,545.263,"ISCED 5A, 6",ISCED 2,"ISCED 5A, 6",Single father/mother,Native
133946,Germany,Female,Integrated school,396.7207,452.9196,406.0425,ISCED 2,ISCED 2,ISCED 2,Both parents,Second-Generation
133947,Germany,Male,Integrated school,528.8285,408.8935,460.4066,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133948,Germany,Male,Integrated school,543.0830000000001,436.1597,469.4517,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133951,Germany,Male,Integrated school,582.2636,512.6652,558.3178,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133952,Germany,Female,Integrated school,465.8903,449.9806,412.8497,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,First-Generation
133953,Germany,Male,Integrated school,563.8028,527.6616,570.8131,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Second-Generation
133956,Germany,Male,Integrated school,505.7719,536.4830000000001,491.4584,ISCED 2,ISCED 2,ISCED 2,Both parents,Second-Generation
133957,Germany,Male,Integrated school,492.4521,472.3274,494.9086,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133959,Germany,Female,Middle school,392.7481,399.7008,357.8329,None,None,None,Both parents,Second-Generation
133961,Germany,Male,Middle school,522.1296,446.9057,531.2756,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133965,Germany,Female,Middle school,462.8525,500.4987,489.9664,ISCED 2,ISCED 2,ISCED 2,Single father/mother,Native
133966,Germany,Male,Middle school,350.0623,373.4476,376.6692,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133967,Germany,Female,Middle school,380.0514,409.1531,393.2674,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133968,Germany,Male,Middle school,404.51,433.834,421.8948,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133969,Germany,Female,Middle school,510.6792,566.4265,570.5334,ISCED 5B,"ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133971,Germany,Male,Middle school,423.9056,400.9543,448.0977,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133973,Germany,Female,Middle school,546.2767,579.2149,567.3629,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Single father/mother,Native
133975,Germany,Female,Middle school,419.3878,470.2355,441.6636,"ISCED 3A, ISCED 4",ISCED 2,"ISCED 3A, ISCED 4",Both parents,Native
133976,Germany,Female,Middle school,466.7472,484.69199999999995,465.069,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133977,Germany,Female,Middle school,580.9394,591.1295,630.4924,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133978,Germany,Female,Middle school,478.5091,511.6985,553.0026,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Single father/mother,Native
133980,Germany,Male,Middle school,485.4417,424.1305,464.7893,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133983,Germany,Female,Middle school,564.9712,576.832,556.1731,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133984,Germany,Male,Middle school,524.9338,525.1756,564.8452,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133985,Germany,Male,Middle school,603.2949,534.3177,609.6046,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Single father/mother,Native
133987,Germany,Female,Middle school,551.0282,598.8343,566.8967,"ISCED 5A, 6","ISCED 3B, C","ISCED 5A, 6",Single father/mother,Native
133988,Germany,Female,Middle school,594.6487,636.2463,619.7687,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Single father/mother,Native
133989,Germany,Male,Middle school,608.2022,591.8172,606.2477,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133990,Germany,Male,Middle school,530.7758,533.0346,528.6647,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Both parents,Native
133991,Germany,Male,Middle school,492.1405,469.9216,499.9441,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Second-Generation
133992,Germany,Male,Middle school,463.6314,450.5947,434.0172,ISCED 5B,ISCED 5B,ISCED 5B,Both parents,Native
133993,Germany,Male,Middle school,599.9455,578.9861,640.1902,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133994,Germany,Male,Middle school,410.3521,461.9021,462.6445,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133996,Germany,Female,Middle school,405.9121,474.6042,443.6218,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",Both parents,Second-Generation
